,AUSTRALIA,AUSTRIA,BELGIUM,CANADA,DENMARK,FINLAND,FRANCE,GERMANY,GREECE,IRELAND,ITALY,JAPAN,NETHERLANDS,NEW ZEALAND,NORWAY,PORTUGAL,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,USA
,87.792,159.744,,234.577,312.225,501.088,97.37,,,,,565.972,190.337,31.259,252.904,,30.481,315.705,206.329,177.248,159.043
,98.537,151.892,,235.343,311.263,489.762,96.303,,,,,569.994,187.714,30.781,277.943,,29.449,339.34,210.2,170.25,153.339
,101.921,147.873,,235.966,345.313,379.507,98.987,,,,,562.323,185.82,36.942,277.59,,27.197,341.871,198.815,168.107,155.924
,106.174,151.928,,238.7,375.418,376.973,103.789,,,,,606.039,190.708,34.731,287.458,,28.055,334.666,205.734,167.261,157.4
,104.267,149.513,,224.291,365.563,472.464,103.307,,,,,602.409,181.691,38.036,270.59,,29.534,325.047,211.584,163.825,155.074
,113.833,146.224,,243.343,361.946,519.602,107.334,,,,,609.169,186.199,38.988,277.248,,29.199,338.008,219.266,170.54,157.849
,116.232,149.434,,242.77,374.424,561.67,109.831,,,,,655.431,190.698,45.067,285.142,,26.093,321.373,230.027,170.253,156.432
,115.558,143.577,,230.606,365.232,514.194,115.651,,,,,685.438,212.87,48.998,317.797,,28.333,346.294,221.603,176.366,154.132
,111.239,154.662,,227.64,339.048,489.013,118.159,,,,,682.715,214.63,51.168,332.058,,32.593,349.36,224.575,182.801,147.179
,115.272,156.492,,220.221,319.132,487.997,119.841,,,,,805.204,216.844,50.303,346.28,,33.459,363.685,226.859,189.088,149.341
,113.937,147.31,,213.884,332.038,402.783,126.312,,,,,786.951,207.545,45.851,365.952,,32.006,335.948,224.73,187.292,150.328
,95.3,145.242,,204.154,290.343,375.105,121.505,,,,,689.535,196.879,48.052,352.117,,32.477,299.665,213.22,167.211,141.335
,93.805,141.127,,199.751,291.708,380.053,117.97,,,,,692.092,197.48,46.594,296.025,,32.881,306.664,205.901,167.632,143.771
,93.652,135.024,,193.265,285.738,325.314,105.177,,,,,642.573,177.733,45.485,288.203,,34.272,304.57,192.612,156.955,142.081
,102.784,134.97,,220.92,282.758,338.624,116.097,,,,,697.01,204.287,34.797,320.623,,34.706,299.132,205.892,172.123,156.939
,101.215,134.411,,218.323,247.045,325.103,114.758,,,,,693.37,211.281,35.04,294.062,,35.802,278.837,199.35,168.434,156.6
,104.63,136.263,,213.823,238.268,397.048,116.485,,,,,726.904,208.114,37.588,299.742,,34.216,270.811,202.5,166.893,156.814
